Address,Occupied,Vacant,Owned_Loan,Owned_Clear,Renter_Occupied,TotalVacant_HUnits,ForRent,Rented_NotOccupied,ForSale,Sold_NotOccupied,Occasional_Use,MigrantWorkers,OtherVacant,H_White,H_AfricanAmerican,H_AmerIndian_Alaska,H_Asian,H_Hawaiian_Pacific,H_OtherRace,H_TwoOrMore_Races,Pop_Occ_HUnits,H_1P,H_2P,H_3P,H_4P,H_5P,H_6P,H_7MP,Owner_Occupied,Owner_Child_U18,Owner_NoChild_U18,Renter_Occupied,Renter_Child_U18,Renter_NoChild_U18,VacancyStatus_A,VacancyStatus_NA
"0 block dupli park dr, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block elmhurst av, Syracuse, NY",4,0,3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,9,1,2,0,1,0,0,0,3,1,2,1,1,0,0,0
"0 block fayette st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block geddes st s, Syracuse, NY",39,3,7,8,24,3,1,0,1,0,0,0,1,21,13,0,0,0,3,2,109,11,10,4,8,3,2,1,15,8,7,24,10,14,0,3
"0 block hatch st, Syracuse, NY",39,6,17,5,17,6,2,0,0,0,1,0,3,6,31,1,0,0,0,1,119,11,10,6,2,2,5,3,22,3,19,17,13,4,0,6
"0 block hawley av, Syracuse, NY",76,10,9,11,56,10,6,0,0,0,0,0,4,38,29,0,4,0,2,3,210,25,22,10,4,9,4,2,20,3,17,56,25,31,0,10
"0 block highland st, Syracuse, NY",43,8,9,4,30,8,2,0,0,0,0,0,6,19,12,0,8,0,1,3,139,9,12,7,5,2,3,5,13,5,8,30,17,13,1,7
"0 block james heath rd, Syracuse, NY",37,1,15,3,19,1,0,0,0,0,1,0,0,31,6,0,0,0,0,0,89,11,13,9,1,1,1,1,18,3,15,19,7,12,0,1
"0 block kenmore av, Syracuse, NY",111,29,47,16,48,29,7,0,0,0,0,0,22,20,83,0,0,0,1,7,320,22,26,34,12,9,6,2,63,19,44,48,29,19,0,29
"0 block kingsley pl, Syracuse, NY",80,12,8,6,66,12,5,0,0,0,1,0,6,70,4,2,0,0,0,4,181,34,21,9,9,2,3,2,14,5,9,66,18,48,0,12
"0 block kirk park dr, Syracuse, NY",31,4,12,7,12,4,0,0,0,0,0,0,4,10,17,1,0,0,1,2,100,8,4,5,6,5,2,1,19,10,9,12,7,5,0,4
"0 block lawrence st, Syracuse, NY",49,5,7,4,38,5,3,0,0,0,0,0,2,20,18,2,7,0,0,2,119,20,13,5,3,4,2,2,11,2,9,38,17,21,0,5
"0 block marshall st, Syracuse, NY",11,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,30,3,1,3,4,0,0,0,0,0,0,11,0,11,0,0
"0 block mertens av, Syracuse, NY",20,4,7,4,9,4,0,0,0,0,0,0,4,15,5,0,0,0,0,0,40,10,5,1,3,1,0,0,11,3,8,9,3,6,0,4
"0 block nursery ln, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block onondaga av, Syracuse, NY",29,3,8,6,15,3,3,0,0,0,0,0,0,1,23,2,0,0,0,3,91,5,8,4,8,2,1,1,14,7,7,15,6,9,0,3
"0 block onondaga creek walk, Syracuse, NY",58,8,16,6,36,8,0,0,7,0,0,0,1,17,39,1,0,0,0,1,140,19,16,11,7,3,1,1,22,9,13,36,13,23,0,8
"0 block onondaga st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block park and lakeview av, Syracuse, NY",56,14,7,6,43,14,7,0,0,0,0,0,7,39,13,0,0,0,2,2,122,25,13,9,4,3,1,1,13,3,10,43,11,32,0,14
"0 block predential plz, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block presidential ct, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block presidential plz, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block robincroft rd, Syracuse, NY",90,11,29,9,52,11,3,0,2,0,0,0,6,58,18,3,2,0,3,6,223,25,34,11,7,10,2,1,38,8,30,52,20,32,0,11
"0 block schoeneck ct, Syracuse, NY",18,8,1,1,16,8,0,0,5,2,0,0,1,10,2,0,0,0,5,1,42,6,8,0,1,2,1,0,2,1,1,16,4,12,1,7
"0 block seymour st, Syracuse, NY",61,11,7,6,48,11,3,1,0,1,0,0,6,41,15,1,0,0,1,3,131,37,5,7,3,5,3,1,13,3,10,48,12,36,2,9
"0 block shonnard st, Syracuse, NY",32,12,7,4,21,12,3,0,0,0,0,0,9,14,7,0,0,0,9,2,102,9,5,5,6,2,3,2,11,7,4,21,9,12,1,11
"0 block state st s, Syracuse, NY",42,3,0,0,42,3,1,0,0,0,1,0,1,0,38,0,0,0,3,1,76,20,14,4,4,0,0,0,0,0,0,42,19,23,0,3
"0 block taylor st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block townsend st s, Syracuse, NY",1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"0 block weiser ct, Syracuse, NY",1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"0 block wellesley rd, Syracuse, NY",28,0,16,2,10,0,0,0,0,0,0,0,0,17,8,1,0,0,1,1,71,6,9,6,6,1,0,0,18,8,10,10,4,6,0,0
"0 block will ct, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block albert ter, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block alexander av, Syracuse, NY",7,8,1,0,6,8,0,3,0,1,0,0,4,1,4,0,0,0,0,2,28,1,2,1,1,1,0,1,1,0,1,6,3,3,0,8
"100 block amherst av, Syracuse, NY",76,19,5,8,63,19,7,2,0,0,0,0,10,10,63,0,1,0,0,2,214,22,17,11,13,7,4,2,13,3,10,63,37,26,1,18
"100 block angelou ter, Syracuse, NY",5,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,2,2,0,1,0,0,0,1,0,1,4,1,3,0,0
"100 block annetta st, Syracuse, NY",2,4,0,0,2,4,2,0,0,0,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,4
"100 block archer rd, Syracuse, NY",14,1,10,3,1,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,27,5,6,2,1,0,0,0,13,3,10,1,0,1,0,1
"100 block arnett av, Syracuse, NY",81,10,20,9,52,10,9,0,0,0,0,0,1,70,4,2,1,0,1,3,131,49,20,6,6,0,0,0,29,6,23,52,3,49,0,10
"100 block arnts pl, Syracuse, NY",49,3,29,6,14,3,1,0,0,0,0,0,2,44,3,0,1,0,1,0,117,16,17,6,5,3,1,1,35,8,27,14,5,9,0,3
"100 block arsenal dr, Syracuse, NY",48,1,14,2,32,1,0,0,0,0,0,0,1,9,35,1,0,0,1,2,131,10,15,8,9,5,1,0,16,7,9,32,20,12,0,1
"100 block ash st, Syracuse, NY",77,24,3,7,67,24,7,3,0,2,0,0,12,31,23,0,18,0,3,2,226,20,13,13,16,13,2,0,10,3,7,67,37,30,14,10
"100 block avery av, Syracuse, NY",38,1,24,13,1,1,0,0,1,0,0,0,0,36,1,0,0,1,0,0,85,9,18,7,2,1,1,0,37,8,29,1,1,0,0,1
"100 block avon rd, Syracuse, NY",54,4,27,17,10,4,0,0,3,1,0,0,0,53,0,0,0,0,0,1,118,15,25,6,5,3,0,0,44,11,33,10,0,10,1,3
"100 block baldwin av, Syracuse, NY",46,3,8,8,30,3,1,0,0,0,0,0,2,8,35,0,0,0,1,2,117,15,14,5,8,0,2,2,16,0,16,30,20,10,0,3
"100 block ballard av, Syracuse, NY",136,16,35,21,80,16,9,0,2,0,0,0,5,16,115,0,0,0,1,4,416,25,34,33,19,14,4,7,56,19,37,80,53,27,2,14
"100 block beard av e, Syracuse, NY",16,3,1,1,14,3,1,0,0,0,0,0,2,2,13,0,0,0,1,0,46,3,5,2,5,0,0,1,2,1,1,14,7,7,0,3
"100 block beard av w, Syracuse, NY",27,11,4,4,19,11,1,0,0,0,0,0,10,2,24,0,0,0,1,0,81,5,7,5,7,1,0,2,8,2,6,19,11,8,0,11
"100 block beattie st, Syracuse, NY",24,0,7,9,8,0,0,0,0,0,0,0,0,21,1,0,2,0,0,0,40,12,8,4,0,0,0,0,16,0,16,8,0,8,0,0
"100 block becker st, Syracuse, NY",47,6,16,6,25,6,1,0,0,0,1,0,4,40,3,0,2,0,0,2,109,16,13,10,6,0,1,1,22,7,15,25,10,15,0,6
"100 block beech st s, Syracuse, NY",34,2,10,6,18,2,0,0,0,0,1,0,1,2,32,0,0,0,0,0,81,10,15,4,1,2,1,1,16,4,12,18,5,13,0,2
"100 block berger av, Syracuse, NY",17,8,3,2,12,8,0,0,0,0,0,0,8,2,13,0,0,0,1,1,66,0,2,4,7,3,0,1,5,3,2,12,9,3,5,3
"100 block berkshire av, Syracuse, NY",4,1,1,2,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,8,1,2,1,0,0,0,0,3,0,3,1,0,1,0,1
"100 block berwyn av, Syracuse, NY",31,5,9,7,15,5,4,0,0,0,0,0,1,3,27,0,0,0,1,0,97,6,8,6,5,2,2,2,16,6,10,15,10,5,1,4
"100 block bissell st e, Syracuse, NY",31,4,6,3,22,4,2,0,0,0,0,0,2,3,28,0,0,0,0,0,82,10,7,5,4,4,0,1,9,3,6,22,11,11,0,4
"100 block bissell st w, Syracuse, NY",49,9,18,7,24,9,1,1,2,0,0,0,5,19,23,0,0,0,3,4,131,16,14,4,6,5,2,2,25,8,17,24,11,13,0,9
"100 block blossom rd, Syracuse, NY",109,2,60,19,30,2,0,0,0,0,0,0,2,48,57,0,0,0,0,4,289,25,40,15,15,10,2,2,79,25,54,30,15,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block bristol pl, Syracuse, NY",63,4,1,2,60,4,2,0,0,0,0,0,2,44,4,0,12,0,2,1,143,23,12,21,3,3,1,0,3,0,3,60,2,58,0,4
"100 block broad st, Syracuse, NY",69,4,12,2,55,4,2,0,0,0,1,0,1,56,3,0,7,1,2,0,209,6,14,25,20,4,0,0,14,6,8,55,1,54,0,4
"100 block bronson st, Syracuse, NY",81,5,53,19,9,5,0,0,2,0,0,0,3,68,10,2,0,0,0,1,202,24,23,14,12,6,2,0,72,21,51,9,4,5,0,5
"100 block brookford rd, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block burnet park dr, Syracuse, NY",71,8,25,11,35,8,4,0,2,1,0,0,1,69,1,0,0,0,1,0,145,27,28,7,5,3,1,0,36,9,27,35,4,31,0,8
"100 block burt st, Syracuse, NY",0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"100 block camp av, Syracuse, NY",63,4,21,8,34,4,2,0,0,1,0,0,1,51,10,0,0,0,0,2,157,19,17,14,8,3,1,1,29,10,19,34,9,25,0,4
"100 block cannon st, Syracuse, NY",38,4,7,8,23,4,1,0,0,0,0,0,3,3,32,0,0,0,1,2,109,7,13,7,6,2,1,2,15,6,9,23,13,10,1,3
"100 block carbon st s, Syracuse, NY",113,19,18,12,83,19,7,0,0,1,0,0,11,62,30,1,8,1,0,11,337,35,32,13,9,10,6,8,30,6,24,83,42,41,1,18
"100 block centennial dr, Syracuse, NY",33,2,19,7,7,2,0,0,0,2,0,0,0,26,6,0,0,0,0,1,88,6,12,8,2,4,1,0,26,5,21,7,2,5,0,2
"100 block chaffee av  e, Syracuse, NY",13,0,6,1,6,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,33,3,5,1,3,1,0,0,7,1,6,6,3,3,0,0
"100 block chaffee av, Syracuse, NY",25,1,13,3,9,1,0,0,0,0,0,0,1,19,3,1,0,0,2,0,47,11,8,5,0,1,0,0,16,3,13,9,0,9,1,0
"100 block charmouth dr, Syracuse, NY",21,6,8,6,7,6,0,0,3,0,0,0,3,10,7,1,0,0,0,3,58,8,5,0,3,2,3,0,14,5,9,7,3,4,0,6
"100 block cheltenham rd e, Syracuse, NY",31,0,19,10,2,0,0,0,0,0,0,0,0,24,6,0,0,0,0,1,76,7,10,9,4,0,1,0,29,9,20,2,0,2,0,0
"100 block cheney st, Syracuse, NY",21,4,2,1,18,4,2,0,1,0,0,0,1,8,10,0,0,0,2,1,55,5,4,7,4,1,0,0,3,3,0,18,8,10,0,4
"100 block clairmonte av, Syracuse, NY",60,4,23,2,35,4,1,0,2,0,0,0,1,34,20,1,0,0,3,2,176,10,21,10,9,5,3,2,25,7,18,35,22,13,0,4
"100 block clarendon st, Syracuse, NY",48,0,10,5,33,0,0,0,0,0,0,0,0,36,5,0,5,0,0,2,144,5,12,19,5,5,1,1,15,8,7,33,4,29,0,0
"100 block clarke st, Syracuse, NY",87,6,35,12,40,6,1,0,0,0,0,0,5,69,9,0,6,0,0,3,207,27,26,16,13,2,3,0,47,16,31,40,8,32,0,6
"100 block clinton st s, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block clyde av, Syracuse, NY",14,0,9,0,5,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,27,4,7,3,0,0,0,0,9,1,8,5,1,4,0,0
"100 block collingwood av n, Syracuse, NY",40,1,24,8,8,1,0,0,0,0,0,0,1,38,2,0,0,0,0,0,91,11,17,6,4,0,2,0,32,8,24,8,2,6,0,1
"100 block colvin st e, Syracuse, NY",50,3,29,11,10,3,0,0,1,0,0,0,2,41,5,0,0,0,0,4,93,22,17,8,2,1,0,0,40,3,37,10,3,7,0,3
"100 block commonwealth av, Syracuse, NY",67,7,12,9,46,7,2,0,0,0,0,0,5,49,13,0,2,0,0,3,171,22,19,10,5,6,4,1,21,3,18,46,21,25,0,7
"100 block concord pl, Syracuse, NY",55,2,24,7,24,2,2,0,0,0,0,0,0,46,5,0,1,0,2,1,151,12,16,6,16,5,0,0,31,12,19,24,0,24,0,2
"100 block conifer dr, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block cook av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block coolidge av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block cordova st, Syracuse, NY",14,2,7,2,5,2,1,0,0,0,0,0,1,0,14,0,0,0,0,0,43,4,2,3,2,0,3,0,9,4,5,5,3,2,0,2
"100 block corning av e, Syracuse, NY",27,1,20,4,3,1,0,0,0,0,1,0,0,21,5,0,0,0,1,0,61,9,7,6,5,0,0,0,24,8,16,3,1,2,0,1
"100 block corning av w, Syracuse, NY",33,3,8,10,15,3,2,0,1,0,0,0,0,11,22,0,0,0,0,0,90,10,9,5,4,2,2,1,18,4,14,15,10,5,0,3
"100 block cortland pl, Syracuse, NY",23,1,1,0,22,1,1,0,0,0,0,0,0,8,12,0,0,0,0,3,44,9,7,7,0,0,0,0,1,0,1,22,6,16,0,1
"100 block court st w, Syracuse, NY",17,0,9,7,1,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,42,5,7,3,0,0,1,1,16,6,10,1,0,1,0,0
"100 block court ter, Syracuse, NY",132,12,29,15,88,12,10,0,0,0,0,0,2,93,13,8,7,0,8,3,368,37,31,27,14,9,11,3,44,14,30,88,41,47,0,12
"100 block craton st, Syracuse, NY",113,11,7,12,94,11,1,0,0,0,1,0,9,67,25,1,9,0,4,7,310,30,30,23,14,10,1,5,19,5,14,94,42,52,0,11
"100 block crawford av, Syracuse, NY",68,1,28,11,29,1,0,0,0,0,1,0,0,58,4,0,4,0,0,2,177,14,24,15,9,5,0,1,39,13,26,29,7,22,0,1
"100 block cresline dr, Syracuse, NY",62,2,40,12,10,2,0,0,0,0,0,0,2,59,3,0,0,0,0,0,144,21,19,12,5,3,1,1,52,18,34,10,2,8,0,2
"100 block croly st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block crouse av s, Syracuse, NY",78,1,43,18,17,1,1,0,0,0,0,0,0,58,14,0,3,0,0,3,156,38,23,5,7,3,0,2,61,6,55,17,4,13,0,1
"100 block crysler st, Syracuse, NY",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"100 block curtis st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block dablon ct, Syracuse, NY",46,0,0,0,46,0,0,0,0,0,0,0,0,5,40,0,0,0,1,0,80,27,11,4,2,1,1,0,0,0,0,46,14,32,0,0
"100 block daisy st, Syracuse, NY",129,17,7,3,119,17,13,0,0,0,0,0,4,44,76,1,1,0,7,0,222,82,27,6,6,5,2,1,10,4,6,119,21,98,0,17
"100 block dakin st, Syracuse, NY",16,6,3,1,12,6,1,0,0,0,0,0,5,4,10,0,0,0,2,0,46,2,6,4,1,2,1,0,4,2,2,12,4,8,0,6
"100 block dale st, Syracuse, NY",62,10,24,13,25,10,1,0,1,0,0,0,8,43,11,1,6,0,0,1,160,21,15,15,3,4,2,2,37,5,32,25,12,13,0,10
"100 block danforth ter, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block dearborn pl, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block delaware st, Syracuse, NY",26,15,8,3,15,15,0,0,0,0,0,0,15,5,15,1,0,0,2,3,69,9,5,3,4,5,0,0,11,3,8,15,7,8,1,14
"100 block delong av, Syracuse, NY",76,22,2,6,68,22,5,0,0,0,0,0,17,34,23,3,14,0,0,2,227,20,22,11,7,4,6,6,8,2,6,68,32,36,0,22
"100 block delray av, Syracuse, NY",47,2,26,10,11,2,1,0,0,0,0,0,1,18,28,0,0,0,0,1,124,9,19,8,7,1,1,2,36,10,26,11,6,5,0,2
"100 block dewey av, Syracuse, NY",86,25,9,10,67,25,15,0,0,0,0,0,10,55,19,1,0,0,7,4,216,33,19,15,9,5,2,3,19,4,15,67,30,37,0,25
"100 block dickerson st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block division st w, Syracuse, NY",7,2,0,0,7,2,2,0,0,0,0,0,0,1,5,0,0,0,0,1,31,0,1,3,0,1,1,1,0,0,0,7,4,3,0,2
"100 block doll pkwy, Syracuse, NY",87,3,71,15,1,3,0,0,0,1,0,0,2,65,19,0,3,0,0,0,183,32,33,11,6,3,1,1,86,22,64,1,1,0,1,2
"100 block duane st, Syracuse, NY",58,1,28,8,22,1,0,0,0,1,0,0,0,45,7,1,1,0,3,1,133,17,20,10,9,2,0,0,36,11,25,22,11,11,0,1
"100 block dudley st, Syracuse, NY",49,11,5,2,42,11,2,0,0,0,0,0,9,19,19,1,0,0,6,4,161,9,11,11,6,6,4,2,7,4,3,42,20,22,0,11
"100 block durston av, Syracuse, NY",55,5,31,22,2,5,0,0,0,0,2,0,3,54,0,0,1,0,0,0,128,12,22,14,5,2,0,0,53,16,37,2,1,1,0,5
"100 block east av, Syracuse, NY",64,3,45,10,9,3,0,0,0,0,0,0,3,23,40,0,1,0,0,0,157,16,23,12,10,1,0,2,55,14,41,9,5,4,1,2
"100 block eastman av, Syracuse, NY",24,10,7,4,13,10,1,0,1,0,0,0,8,4,19,0,0,0,0,1,41,11,10,2,1,0,0,0,11,0,11,13,4,9,1,9
"100 block edison st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block edmund av, Syracuse, NY",41,3,18,8,15,3,0,0,2,0,0,0,1,13,27,0,0,0,1,0,102,13,13,5,4,4,2,0,26,5,21,15,9,6,1,2
"100 block edwards av n, Syracuse, NY",3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0
"100 block elizabeth blackwell st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block elk st, Syracuse, NY",68,15,15,13,40,15,2,0,1,0,0,0,12,10,53,0,0,0,4,1,176,24,14,18,2,4,3,3,28,5,23,40,18,22,0,15
"100 block elliott st, Syracuse, NY",35,13,7,3,25,13,2,0,0,0,0,0,11,10,16,2,0,0,4,3,98,8,9,8,4,4,2,0,10,3,7,25,16,9,0,13
"100 block elmhurst av, Syracuse, NY",35,9,15,6,14,9,6,0,0,0,0,0,3,11,22,1,0,0,0,1,99,8,8,6,9,3,1,0,21,5,16,14,8,6,1,8
"100 block eloise ter, Syracuse, NY",202,74,42,9,151,74,45,0,4,1,0,0,24,65,106,0,1,0,16,14,551,54,45,54,19,18,7,5,51,18,33,151,82,69,1,73
"100 block elsner st, Syracuse, NY",39,8,8,6,25,8,2,1,0,0,0,0,5,23,11,0,4,1,0,0,93,18,7,1,9,2,2,0,14,3,11,25,7,18,0,8
"100 block emerson av, Syracuse, NY",19,2,5,2,12,2,0,0,0,0,0,0,2,17,0,1,0,0,0,1,33,11,5,0,3,0,0,0,7,1,6,12,3,9,0,2
"100 block erickson st, Syracuse, NY",44,0,9,2,33,0,0,0,0,0,0,0,0,35,7,1,0,0,0,1,64,30,11,1,1,1,0,0,11,1,10,33,1,32,0,0
"100 block erie blvd e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block ethel st, Syracuse, NY",17,2,9,7,1,2,0,0,1,0,0,0,1,15,2,0,0,0,0,0,36,4,9,3,0,1,0,0,16,1,15,1,0,1,0,2
"100 block eureka st, Syracuse, NY",45,11,6,1,38,11,1,6,0,0,0,0,4,34,10,0,0,0,0,1,86,23,11,6,2,3,0,0,7,2,5,38,7,31,0,11
"100 block fage av, Syracuse, NY",16,5,1,1,14,5,3,0,0,0,0,0,2,2,14,0,0,0,0,0,54,2,4,4,0,4,2,0,2,1,1,14,10,4,0,5
"100 block feigel av, Syracuse, NY",160,32,7,4,149,32,29,0,0,0,2,0,1,131,13,2,8,0,2,4,238,94,54,12,0,0,0,0,11,4,7,149,14,135,0,32
"100 block fellows av, Syracuse, NY",72,6,21,6,45,6,1,0,1,2,0,0,2,52,12,1,4,0,0,3,181,23,21,9,11,5,2,1,27,6,21,45,4,41,0,6
"100 block fenton st, Syracuse, NY",23,8,3,4,16,8,7,0,0,0,0,0,1,8,8,0,0,0,4,3,63,5,8,3,5,0,1,1,7,2,5,16,7,9,0,8
"100 block fernwood av, Syracuse, NY",79,28,22,13,44,28,3,0,0,0,0,0,25,3,73,0,0,0,1,2,207,17,26,18,10,5,2,1,35,8,27,44,22,22,1,27
"100 block fish av, Syracuse, NY",27,1,18,7,2,1,0,0,0,1,0,0,0,16,11,0,0,0,0,0,61,8,11,3,3,2,0,0,25,6,19,2,0,2,0,1
"100 block florence av w, Syracuse, NY",144,15,42,9,93,15,10,0,0,0,0,0,5,35,99,3,0,0,0,7,383,25,50,35,24,6,2,2,51,14,37,93,58,35,0,15
